Introduction	引言
This structure can be based on the following assumptions: An elastic short-run aggregate supply curve (prices do not respond within a quarter); a simple monetary supply policy (the fed funds rate only responds within quarter to the money supply); money demand only responds to nominal output (log price plus log real output) and fed funds rate within a quarter; and unrestricted I-S curve	这种结构可以基于以下假设： 有弹性的短期总供给曲线（价格在一个季度内不会做出反应）；简单的货币供应政策（联邦基金利率仅在季度内对货币供应量做出反应）；货币需求仅对季度内名义产出（对数价格加对数实际产出）和联邦基金利率做出反应；和不受约束的 I-S 曲线
To analyze conditions for identification we start by checking the order condition	为了分析识别条件，我们首先检查订单条件
Thus the order condition is exactly satisfied	因此订单条件完全满足
We check the equations for identification	我们检查方程进行识别
Regardless, the point of this exercise is to determine specific conditions for identification and articulate them in your analysis	无论如何，此练习的目的是确定识别的具体条件并在分析中阐明它们
Long-Run Restrictions	长期约束
One important class of such structural VARs are those based on long-run restrictions	此类结构性 VAR 的一个重要类别是基于长期约束的 VAR
These can provide a compelling case for identification	这些可以为识别提供令人信服的案例
An influential example of a structural VAR based on a long-run restriction is Blanchard and Quah (1989)	Blanchard 和 Quah (1989) 是基于长期约束的结构 VAR 的一个有影响力的例子
This can be used as an identifying restriction	这可以用作识别约束
The long-run structural impulse response is the cumulative sum of all impulse responses	长期结构脉冲响应是所有脉冲响应的累积和
Another way of thinking about this is that Blanchard-Quah label "aggregate supply" as the long-run component of GDP and label "aggregate demand" as the transitory component of GDP	另一种思考方式是，布兰查德-夸赫将“总供给”标记为GDP的长期组成部分，将“总需求”标记为GDP的暂时组成部分
Notice that by construction the long-run impulse response is	请注意，通过构造，长期脉冲响应是
Long-run structural vector autoregressions can be estimated in Stata using the svar command using the lreq option	可以使用 svar 命令和 lreq 选项在 Stata 中估计长期结构向量自回归
The same limitations for such intervals constructed in Stata hold for structural impulse response functions as the other cases discussed	与讨论的其他情况一样，在 Stata 中构建的此类区间的约束也适用于结构脉冲响应函数
Unfortunately, a limitation of the Stata svar command is that it does not display cumulative structural impulse response functions	不幸的是，Stata svar 命令的一个局限是它不显示累积结构脉冲响应函数
This means that for serious applied work programming needs to be done outside of Stata	这意味着对于严肃的应用工作来说，编程需要在 Stata 之外完成
Blanchard and Quah (1989) Illustration	布兰查德和夸 (1989) 说明
As we described in the previous section, Blanchard and Quah (1989) estimated a bivariate VAR in GDP growth and the unemployment rate assuming that the the structural shocks are aggregate supply and aggregate demand imposing that that the long-run response of GDP with respect to aggregate demand is zero	正如我们在上一节中所描述的，Blanchard 和 Quah（1989）估计了 GDP 增长和失业率的双变量 VAR，假设结构性冲击是总供给和总需求，并假设 GDP 对总需求为零
Blanchard and Quah used a careful detrending method; instead we including a linear time trend in the estimated VAR	布兰查德和夸赫使用了一种谨慎的去趋势方法；相反，我们在估计的 VAR 中包含了线性时间趋势
The fitted reduced form model coefficients satisfy	拟合的简化形式模型系数满足
and the residual covariance matrix is	残差协方差矩阵为
The estimated impulse responses have similar hump shapes with a peak around four quarters, and are similar to those found by Blanchard and Quah (1989)	估计的脉冲响应具有类似的驼峰形状，峰值在四分之四左右，并且与 Blanchard 和 Quah (1989) 发现的相似
Let's examine and contrast panels (a) and (b) of Figure 15.4	让我们检查并对比图 15.4 的面板 (a) 和 (b)
